OBJECTID,ctyua19cd,ctyua19nm,ctyua19nmw,bng_e,bng_n,long,lat,Shape__Area,Shape__Length,GlobalID
120,E09000028,Southwark, ,533947,175866,-0.07306,51.465919,30251139.1381912,28468.133521133,fb90c1ff-2eac-44a5-a4d1-407ed835084b
121,E09000029,Sutton, ,527356,163640,-0.17227,51.357559,44475059.911911,32956.4110258173,f920f29b-67e8-4e89-a19e-719205eb3426
122,E09000030,Tower Hamlets, ,536343,181452,-0.03643,51.515541,19546971.6690598,21634.9575644869,349db207-2f57-4c93-ae02-577a16ea3a9e
123,E09000031,Waltham Forest, ,537327,190277,-0.01881,51.594608,39257107.8012695,28340.6367343147,bfa9f7fc-1f5c-4103-8eab-8c73fb9e4794
124,E09000032,Wandsworth, ,525151,174138,-0.20023,51.4524,34625993.0971146,33953.2689912882,88d6e273-f2cf-4c3b-af92-39e35e81d77c
125,E09000033,Westminster, ,528268,180870,-0.15295,51.512199,22938487.0702438,22668.168970061,ed6e3bce-c23a-4199-b973-7eb70554d0b3
126,E10000002,Buckinghamshire, ,482506,208561,-0.80569,51.769661,1574680639.70932,301220.69681599,d0ef6115-ebdd-416e-8c65-22f684f2be81
127,E10000003,Cambridgeshire, ,520312,273864,-0.23506,52.349659,3055805826.23956,366012.364067263,27a53af2-2a3a-4a77-b8e7-6411a304fc2d
128,E10000006,Cumbria, ,341868,527180,-2.90213,54.636379,6828753017.97502,552617.827159999,6310bde8-2a81-4876-a763-7f40cfc1cf64
129,E10000007,Derbyshire, ,426752,353556,-1.6021,53.078579,2549660380.79626,372264.864454269,89a06d9b-7360-4345-bb98-1ba41fadca91
130,E10000008,Devon, ,283143,93085,-3.65698,50.725578,6585794126.78834,621810.572200322,f6f5b7d6-d017-4b4b-b2cc-28e0c6715ae8
131,E10000011,East Sussex, ,564123,117996,0.334559,50.938049,1724411101.4318,220009.91427797,b069648e-689c-451f-9a18-68f8c6fe3c9d
132,E10000012,Essex, ,575270,215407,0.54106,51.809818,3461786415.78687,589800.008011172,71c3cb6c-d6d7-4916-bbaa-9e958ccf4c4d
133,E10000013,Gloucestershire, ,389595,213465,-2.15235,51.81971,2685060501.09007,351845.763631788,9b31fc02-7729-4cec-b9af-b647184a9e22
134,E10000014,Hampshire, ,452859,127536,-1.24735,51.044739,3676557917.54242,481489.491216468,733961c5-6f0d-421d-a69c-b91138d71343
135,E10000015,Hertfordshire, ,518883,213642,-0.27699,51.808788,1641520277.80814,260079.229590158,8fca4eb0-e7ec-4362-9685-19b8341d9b7b
